#  Timestep    No_Moles    No_Specs   Si192O384           H
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1465           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1470           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1475           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1480           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1485           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1490           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1495           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1500           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1505           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1510           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1515           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1520           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1525           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1530           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1535           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1540           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1545           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1550           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1555           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1560           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1565           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1570           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1575           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1580           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1585           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1590           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1595           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1600           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1605           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1610           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1615           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1620           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1625           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1630           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1635           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1640           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1645           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1650           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1655           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1660           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1665           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1670           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1675           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1680           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1685           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1690           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1695           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
